Pick,Player,Position,Original NFL team
1,Jim Pyne,C,Detroit Lions
2,Hurvin McCormack,DE,Dallas Cowboys
3,Scott Rehberg,OT,New England Patriots
4,Damon Gibson,WR,Cincinnati Bengals
5,Steve Gordon,C,San Francisco 49ers
6,Tarek Saleh,LB,Carolina Panthers
7,Jeff Buckey,G,Miami Dolphins
8,Jason Kyle,LS,Seattle Seahawks
9,Rod Manuel,DE,Pittsburgh Steelers
10,Lenoy Jones,LB,Tennessee Titans
11,Tim McTyer,CB,Philadelphia Eagles
12,Elijah Alexander,LB,Indianapolis Colts
13,Pete Swanson,OT,Kansas City Chiefs
14,Gerome Williams,S,San Diego Chargers
15,Marlon Forbes,S,Chicago Bears
16,Justin Armour,WR,Denver Broncos
17,Paul Wiggins,OT,Washington Redskins
18,Duane Butler,S,Minnesota Vikings
19,Fred Brock,WR,Arizona Cardinals
20,Kory Blackwell,CB,New York Giants
