Astronaut,State,Flight,Expedition/Visitor,Year
Umberto Guidoni,Italy,STS-100,Visitor,2001
Claudie Haigneré,France,Soyuz TM-33,Visitor,2001
Roberto Vittori,Italy,Soyuz TM-34,Visitor,2002
Philippe Perrin,France,STS-111,Visitor,2002
Frank De Winne,Belgium,Soyuz TMA-1,Visitor,2002
Pedro Duque,Spain,Soyuz TMA-3,Visitor,2003
André Kuipers,Netherlands,Soyuz TMA-4,Visitor,2003
Roberto Vittori,Italy,Soyuz TMA-6,Visitor,2005
Thomas Reiter,Germany,STS-121,Expedition 13 & Expedition 14,2006
Christer Fuglesang,Sweden,STS-116,Visitor,2006
Paolo A. Nespoli,Italy,STS-120,Visitor,2007
Hans Schlegel,Germany,STS-122,Visitor,2008
Léopold Eyharts,France,STS-122,Expedition 16,2008
Frank De Winne,Belgium,Soyuz TMA-15,Expedition 20 & Expedition 21,2009
Christer Fuglesang,Sweden,STS-128,Visitor,2009
Paolo A. Nespoli,Italy,Soyuz TMA-20,Expedition 26 & Expedition 27,2010
Roberto Vittori,Italy,STS-134,Visitor,2011
André Kuipers,Netherlands,Soyuz TMA-03M,Expedition 30 & Expedition 31,2012
Luca Parmitano,Italy,Soyuz TMA-09M,Expedition 36 & Expedition 37,2013
Alexander Gerst,Germany,Soyuz TMA-13M,Expedition 40 & Expedition 41,2014
