Medal,Name,Event,Games
Gold,Eko Yuli Irawan,Men 's -62 kg,2018 Asian Games
Silver,Madek Kasman,Men 's -60 kg,1970 Asian Games
Silver,Abdul Rosjid,Men 's -110 kg,1970 Asian Games
Silver,Patmawati Abdul Hamid,Women 's -60 kg,1990 Asian Games
Silver,Supeni,Women 's -50 kg,1994 Asian Games
Silver,Erwin Abdullah,Men 's -69 kg,2002 Asian Games
Silver,Sinta Darmariani,Women 's -69 kg,2010 Asian Games
Silver,Sri Wahyuni Agustiani,Women 's -48 kg,2014 Asian Games
Silver,Sri Wahyuni Agustiani,Women 's -48 kg,2018 Asian Games
Bronze,Thio Ging Hwie,Men 's -67.5 kg,1954 Asian Games
Bronze,Maman Suryaman,Men 's -52 kg,1982 Asian Games
Bronze,Dirja Wiharja,Men 's -56 kg,1986 Asian Games
Bronze,Ponco Imbarwati,Women 's -48 kg,1990 Asian Games
Bronze,Patmawati Abdul Hamid,Women 's -54 kg,1994 Asian Games
Bronze,Sri Indriyani,Women 's -48 kg,1998 Asian Games
Bronze,Raema Lisa Rumbewas,Women 's -48 kg,2002 Asian Games
Bronze,Tanti Pratiwi,Women 's -58 kg,2002 Asian Games
Bronze,Sinta Darmariani,Women 's -75 kg,2006 Asian Games
Bronze,Jadi Setiadi,Men 's -56 kg,2010 Asian Games
Bronze,Eko Yuli Irawan,Men 's -62 kg,2010 Asian Games
