Rank,Name,Nation,TFP,SP,FS
1,Elena Ivanova,Russia,1.5,1,1
2,Elena Pingacheva,Russia,4.0,4,2
3,Nadezhda Kanaeva,Russia,4.0,2,3
4,Fumie Suguri,Japan,5.5,3,4
5,Tara Lipinski,United States,7.5,7,5
6,Vanessa Gusmeroli,France,9.5,5,7
7,Shizuka Arakawa,Japan,11.0,6,8
8,Shelby Lyons,United States,14.0,16,6
9,Lucinda Ruh,Switzerland,15.0,12,9
10,Lyudmyla Ivanova,Ukraine,15.0,10,10
11,Alisa Drei,Finland,16.5,9,12
12,Julia Lautowa,Austria,17.5,13,11
13,Maria Nikitochkina,Belarus,18.0,8,14
14,Eva-Maria Fitze,Germany,20.5,15,13
15,Diána Póth,Hungary,21.5,11,16
16,Fanny Cagnard,France,25.0,20,15
17,Julia Lavrenchuk,Ukraine,25.0,14,18
18,Barbara Maros,Hungary,26.0,18,17
19,Joanne Carter,Australia,28.5,17,20
20,Sofia Penkova,Bulgaria,30.5,23,19
