Year,Under-14,Under-16,Under-19 ( Drysdale Cup prior to 1999 )
1979,tournament not created,Joakim Hirsch,[ [ ] ]
1980,tournament not created,Carol Martini,Stuart Davenport
1981,tournament not created,Nigel Stiles,Chris Dittmar
1982,Robert Graham,Asad Ahmed,Chris Dittmar
1983,Damian Walker,Danny Meddings,Jamie Hickox
1984,D Simpson,Del Harris,David Lloyd
1985,Peter Marshall,Damian Walker,Del Harris
1986,Simon Parke,Steve Meads,Del Harris
1987,Stacey Ross,Simon Parke,Del Harris
1988,Justin Rennie,Simon Parke,Del Harris
1989,Paul Hargrave,Stacey Ross,Simon Parke
1990,Chris Tomlinson,Justin Rennie,Peter Marshall
1991,Ahmed Barada,Paul Hargrave,Simon Parke
1992,Ahmed Faizy,Ahmed Barada,Juha Raumolin
1993,Ahmed Faizy,Ahmed Barada,Justin Rennie
1994,Ong Beng Hee,Ahmed Faizy,Ahmed Barada
1995,Jonathan Kemp,Ahmed Faizy,Iain Higgins
1996,Alberto Manso,Ong Beng Hee,Ahmed Faizy
1997,James Willstrop,Alberto Manso,Ahmed Faizy
1998,Yasser El Halaby,Alberto Manso,Ong Beng Hee
