Site,Municipality,Ref
Enokida Barrier Site 榎田関跡 Enokida seki ato,Ebino,[ 24 ]
Sarukawa Barrier Site 去川の関跡 Sarukawa no seki ato,Miyazaki,[ 25 ]
Swordsmith Tanaka Kunihiro Residence Site 刀工田中国広宅跡 tōkō Tanaka Kunihiro taku ato,Aya,[ 26 ]
Honjō Stone Buddhas 木庄の石仏 Honjō no sekibutsu,Kunitomi,[ 27 ]
Tanimura Keisuke Former Residence 谷村計介 旧宅 Tanimura Keisuke kyū-taku,Miyazaki,[ 28 ]
Nanshū Ōgū Residence Site 南州翁寓居跡 Nanshū Ōgū kyo ato,Nobeoka,[ 29 ]
Yoshino Southern Court Shibahara Matazaburō Grave 吉野朝勤王家柴原又三郎の墓 Yoshino-chō kinnōka Shibahara Matazaburō no haka,Takachiho,[ 30 ]
Zen Master Kogetsu Funerary Tower 古月禅師分骨塔 Kogetsu zenji bunkōtō,Miyazaki,[ 31 ]
Kakin Kitsu Grave 何欽吉墓 Kakin Kitsu bo,Miyakonojō,[ 32 ]
Itō Clan Graves 伊東塚 Itōzuka,Kobayashi,[ 33 ]
Bakumatsu Loyalists ' Graves 幕末勤王家海賀宮門外二士の墓 Bakumatsu kinnō-ka Kaiga Kyūmon hoka ni shi no haka,Hyūga,[ 34 ]
Kai Uzen Grave 甲斐右膳父子の墓 Kai Uzen fushi no haka,Nishimera,[ 35 ]
Iwayoshi Gosho Site 祝吉御所跡 Iwayoshi-gosho ato,Miyakonojō,[ 36 ]
Kamiyaikenohara Ichirizuka 紙屋池の原一里塚 Kamiyaikenohara ichirizuka,Kobayashi,[ 37 ]
Kamiyaurushinobaru Ichirizuka 紙屋漆野原一里塚 Kamiyaurushinobaru ichirizuka,Kobayashi,[ 38 ]
Former Domain Tsuno Horse Corral Site 旧藩都農牧駒追込場跡 kyū-han Tsuno makikoma oikomiba ato,Tsuno,[ 39 ]
Arisugawa Taruhito Temporary Residence 有栖川征討総督宮殿下御本営遺跡 Arisugawa seitō sōtoku no miya denka gohonei iseki,Hyūga,[ 40 ]
Monk Nichō Grave 僧 日要 の墓 sō Nichō no haka,Hyūga,[ 41 ]
Monk Nikkō Site 僧 日講 の墓 sō Nikkō iseki,Miyazaki,[ 42 ]
Obirano Cave Stone Age Dwelling Site 石器時代住居跡尾平野洞窟 sekki-jidai jūkyo-ato Obirano dōkutsu,Miyakonojō,[ 43 ]
