Team,Nation,Winners,Years Won
Deportivo La Coruña,Spain,22,"1955 , 1962 , 1964 , 1969 , 1995 , 1997 , 1998 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2012 , 2014 , 2015 , 2016 , 2017 , 2019"
Real Madrid,Spain,9,"1949 , 1953 , 1966 , 1976 , 1978 , 1979 , 1980 , 1994 , 2013"
Atlético Madrid,Spain,6,"1956 , 1965 , 1973 , 1985 , 1986 , 2009"
Barcelona,Spain,5,"1948 , 1951 , 1972 , 1990 , 1993"
Sevilla,Spain,4,"1946 , 1954 , 1960 , 2011"
Athletic Bilbao,Spain,3,"1947 , 1983 , 2018"
Peñarol,Uruguay,2,"1974 , 1975"
Dynamo Kyiv,Ukraine,2,"1981 , 1982"
Lazio,Italy,1,1950
Valencia,Spain,1,1952
Vasco da Gama,Brazil,1,1957
Nacional,Uruguay,1,1958
Santos,Brazil,1,1959
Sporting CP,Portugal,1,1961
Monaco,France,1,1963
Racing Ferrol,Spain,1,1967
Vitória de Setúbal,Portugal,1,1968
Ferencváros,Hungary,1,1970
Red Star Belgrade,Serbia,1,1971
Fluminense,Brazil,1,1977
