Year,Play,Role,Writer/director,Venue/company
1997,Cardiff East,Tommy,Peter Gill,Royal National Theatre
1997,Grace Note,Nick,Samuel Adamson / Dominic Dromgoole,The Old Vic
1997,One More Wasted Year,Pierre,Christophe Pellet / Mary Peate,Royal Court Theatre
1997,Stranger 's House ( Fremdes Haus ),Yanne,Dea Loher / Mary Peate,Royal Court Theatre
2000,The Graduate,Benjamin Braddock,Charles Webb / Terry Johnson,Gielgud Theatre
2002,The Associate,Tiny,Simon Bent,Royal National Theatre
2003,Under Milk Wood,Mog Edwards,Dylan Thomas / Michael Bogdanov,New Theatre ( Cardiff )
2004,King Lear,Edmund,William Shakespeare / Bill Alexander,Royal Shakespeare Company
2004,Macbeth,Macduff,William Shakespeare / Bill Alexander,The Young Vic
2004,Romeo and Juliet,Romeo,William Shakespeare / Peter Gill,Royal Shakespeare Company
2012,Look Back in Anger,Jimmy,John Osborne / Sam Gold,Roundabout Theatre Company
