Skip,Third,Second,Lead,Locale,Qualification Method
Erika Brown,Debbie McCormick,Jessica Schultz,Ann Swisshelm,"Madison , Wisconsin",Order of Merit
Rebecca Hamilton,Tara Peterson,Karlie Koenig,Sophie Brorson,"Madison , Wisconsin",Order of Merit
Patti Lank,Nina Spatola,Caitlin Maroldo,Molly Bonner,"Lewiston , New York",Order of Merit
Alexandra Carlson,Monica Walker,Kendall Moulton,Jordan Moulton,"St. Paul , Minnesota",Order of Merit
Maureen Stolt,Megan Pond,Emilia Juocys,Sherri Schummer,"St. Paul , Minnesota",Challenge Round
Cassandra Potter,Jamie Haskell,Jaclyn Lemke,Stephanie Sambor,"St. Paul , Minnesota",Challenge Round
Janice Langanke,Nina Reiniger,Ashley Lawreck,Nicole Arsenault,"Middletown , New Jersey",Challenge Round
Allison Pottinger,Nicole Joraanstad,Natalie Nicholson,Tabitha Peterson,"St. Paul , Minnesota",Challenge Round
Aileen Sormunen,Courtney George,Amanda McLean,Miranda Solem,"Duluth , Minnesota",Challenge Round
Kimberly Wapola,Victoria Forconi,Carol Strojny,Sharon Wright,"St. Paul , Minnesota",Challenge Round
