Book series,Author ( s ),Original language,No . of installments,First published,Approximate sales
A Song of Ice and Fire,George R. R. Martin,English,Currently 5 ; 7 Planned ; 3 novellas + 1 guide,1996-present,90 million
Discworld,Terry Pratchett,English,41,1983-2015,90 million
Nijntje ( Miffy ),Dick Bruna,Dutch,119,1955-present,85 million
Alex Cross,James Patterson,English,21,1993-present,81 million
Anpanman ( アンパンマン ),Takashi Yanase,Japanese,150 picture books,1973-2013,80 million
Captain Underpants,Dav Pilkey,English,12 plus spinoffs,1997-2015,80 million
Fear Street,R. L. Stine,English,114,1989-present,80 million
Pippi Långstrump ( Pippi Longstocking ),Astrid Lindgren,Swedish,3 + 3 picture books,1945-2001,80 million
The Vampire Chronicles,Anne Rice,English,13,1976-present,80 million
The Wheel of Time,"Robert Jordan , Brandon Sanderson",English,15,1990-2013,80 million
OSS 117,Jean Bruce,French,265,1949-1992,75 million
Winnie-the-Pooh,A . A. Milne ; illustrated by E. H. Shepard,English,2,1926-1928,70 million
Magic Tree House series,Mary Pope Osborne,English,56,1992-present,70 million
Left Behind,"Tim LaHaye , Jerry B. Jenkins",English,16,1996-2007,65 million
A Series of Unfortunate Events,Lemony Snicket aka Daniel Handler,English,13,1999-2006,65 million
Little House on the Prairie,Laura Ingalls Wilder,English,12,1932-2006,60 million
Jack Reacher,Lee Child,English,22 Novels + 11 Short Stories,1997-present,60 million
The Magic School Bus,"Joanna Cole , illustrated by Bruce Degen",English,131,1986-2010,58 million
Where 's Wally ?,Martin Handford,English,13,1987-present,55 million
"Men Are from Mars , Women Are from Venus",John Gray,English,15,1992-present,50 million
