Year,Winner ( s ),Title,Performing artist ( s ),Nominees
2005,"Al Schmitt * , Robert Hadley & Doug Sax** , John Burk , Phil Ramone & Herbert Walf***",Genius Loves Company,Ray Charles & Various Artists,"Bob Clearmountain * , Bob Ludwig ** , Rhett Davies *** for Avalon ( Roxy Music ) Markus Heiland*/** , Andreas Neubronner*** for Mahler : Symphony No . 4 ( Michael Tilson Thomas ) Ed Cherney* , James Guthrie & Doug Sax** for Nick of Time ( Bonnie Raitt ) Martin Walters*/*** , Paul Blakemore** for Raise Your Spirit Higher ( Ladysmith Black Mambazo )"
2006,"Chuck Ainlay * , Bob Ludwig ** , Chuck Ainlay & Mark Knopfler ***",Brothers In Arms - 20th Anniversary Edition,Dire Straits,"Al Schmitt */*** , Doug Sax** for The Girl In The Other Room ( Diana Krall ) Greg Penny */**/*** for Honky Château ( Elton John ) Elliot Scheiner * , Bob Ludwig ** , Nick Rasculinecz*** for In Your Honor ( Foo Fighters ) Phil Rowlands*/** , Nick Parker & Phil Rowlands*** for Mussorgsky/Stokowski : Pictures At An Exhibition - Boris Godunov - Night on Bare Mountain ( José Serebrier )"
2007,"Elliot Scheiner * , Darcy Proper** , Donald Fagen ***",Morph The Cat,Donald Fagen,"Morten Lindberg & Hans Peter l'Orange* , Morten Lindberg**/*** for Immortal Nystedt ( Ensemble 96 ) Martin Walters*/**/*** for Long Walk To Freedom ( Ladysmith Black Mambazo ) Tony Papa* , Bernie Grundman ** , Al Yankovic *** for Straight Outta Lynwood ( Weird Al Yankovic ) P.J . Olsson & Alan Parsons * , Bob Michaels** , Alan Parsons *** for A Valid Path ( Alan Parsons )"
2008,"Paul Hicks* , Tim Young** , George Martin & Giles Martin ***",Love,The Beatles,"The Flaming Lips & Dave Fridmann */**/*** for At War with the Mystics 5.1 ( The Flaming Lips ) Steven Wilson * , Darcy Proper** , Porcupine Tree *** for Fear of a Blank Planet ( Porcupine Tree ) John Newton* , Jonathan Cooper** , Blanton Alspaugh *** for Grechaninov : Passion Week ( Charles Bruffy ) Michael Bishop */** , Elaine Martone*** for Vaughan Williams : Symphony No . 5 ; Fantasia on a Theme of Thomas Tallis ; Serenade to Music ( Robert Spano )"
2009,"Michael Bishop */** , Robert Woods ***",Mussorgsky : Pictures At An Exhibition ; Night On Bald Mountain ; Prelude To Khovanshchina,Paavo Järvi & Cincinnati Symphony Orchestra,"Morten Lindberg & Hans Peter l'Orange* , Morten Lindberg**/*** for Divertimenti ( Øyvind Gimse & TrondheimSolistene ) John Newton* , Jonathan Cooper & Mark Donahue** , Blanton Alspaugh *** for Rheinberger : Sacred Choral Works ( Charles Bruffy ) Bruce Sugar* , Chris Bellman** , Bill Crowley , Ringo Starr & Bruce Sugar*** for Ringo 5.1 : The Surround Sound Collection ( Ringo Starr ) Tohru Takayama* , Keigo Oyamada*** for Sensurround + B Sides ( Cornelius )"
2010,"Michael Bishop */** , Elaine Martone***",Transmigration,Robert Spano & The Atlanta Symphony Orchestra & Choruses,"David Miles Huber */**/*** for Colabs ( David Miles Huber , Allen Hart , DJ Muad'Deep , Seren Wen , Musetta , Henta , Marcell Marias & Gail Pettis ) Morten Lindberg & Hans Peter l'Orange* , Morten Lindberg**/*** for Flute Mystery ( Emily Beynon , Vladimir Ashkenazy , Fred Jonny Berg , Catherine Beynon & The Philharmonia Orchestra ) Morten Lindberg & Hans Peter l'Orange* , Morten Lindberg**/*** for Kleiberg : Treble & Bass ( Daniel Reuss , Trondheim Symphony Orchestra , Marianne Thorsen , & Göran Sjölin ) Nick Davis */*** , Tony Cousins** for Genesis 1970-1975 ( Genesis )"
2011,"Keith O. Johnson*/** , David Frost ***",Britten 's Orchestra,Michael Stern & Kansas City Symphony,"Steven Wilson */*** , Darcy Proper** for The Incident ( Porcupine Tree ) David Miles Huber */**/*** for Parallax Eden ( David Miles Huber ) Don Murray* , Sangwook Nam & Doug Sax** , John Burk , Noel Lee & Marcus Miller *** for Songs and Stories ( Monster Music Version ) ( George Benson ) Morten Lindberg */**/*** for Trondheimsolistene - In Folk Style ( Trondheimsolistene )"
2012,"Elliot Scheiner * , Bob Ludwig ** , Bill Levenson & Elliot Scheiner ***",Layla and Other Assorted Love Songs ( Super Deluxe Edition ),Derek & The Dominos,"Frank Filipetti & Eric Schilling* , Frank Filipetti ** , Phil Ramone *** for An Evening with Dave Grusin ( Various Artists ) Steven Wilson */*** , Paschal Byrne** for Grace For Drowning ( Steven Wilson ) Morten Lindberg */**/*** for Kind ( Kjetil Almenning , Ensemble 96 & Nidaros String Quartet ) Andreas Speer*/*** , Robin Schmidt & Andreas Speer** for Spohr : String Sextet In C Major , Op . 140 & Nonet In F Major , Op . 31 ( Camerata Freden )"
2013,"Jim Anderson * , Darcy Proper** , Michael Friedman***",Modern Cool,Patricia Barber,"David Miles Huber */**/*** for Chamberland ( David Miles Huber ) Morten Lindberg */**/*** for Quiet Winter Night ( The Hoff Ensemble ) Daniel Shores*/** , Marina Ledin & Victor Ledin*** for Rupa-Khanda ( The Los Angeles Percussion Quartet ) Steven Wilson */**/*** for Storm Corrosion ( Storm Corrosion )"
2014,Al Schmitt * & Tommy LiPuma ***,Live Kisses,Paul McCartney,"Les Claypool & Jason Mills* , Stephen Marcussen ** , Les Claypool & Jeff Fura*** for Sailing The Seas of Cheese ( Deluxe Edition ) ( Primus ) Leslie Ann Jones * , Michael Romanowski** , Herbert Walti*** for Signature Sound Opus One ( Various Artists ) Jim Anderson * , Darcy Proper** , Jim Anderson & Jane Ira Bloom *** for Sixteen Sunsets ( Jane Ira Bloom ) Daniel Shores*/** , Dan Merceruio*** for Sprung Rhythm ( Richard Scerbo & Inscape )"
2015,"Elliot Scheiner ( * ) , Tom Coyne ( ** ) , Beyoncé Knowles ( *** )",Beyoncé,Beyoncé,"Morten Lindberg ( */**/*** ) for Beppe : Remote Galaxy ( Vladimir Ashkenazy & The Philharmonia Orchestra ) David Miles Huber ( */**/*** ) for Chamberland : The Berlin Remixes ( David Miles Huber ) Damon Iddins & Andy Jackson ( */*** ) for The Division Bell ( 20th Anniversary Deluxe Box Set ) ( Pink Floyd ) Hans-Jörg Maucksch ( */*** ) , Günter Pauler ( ** ) for Epics of Love ( Song Zuying , Yu Long & The China Philharmonic Orchestra ) Michael Bishop ( */*** ) , Elaine Martone ( ** ) for Mahler : Symphony No . 2 'Resurrection ' ( Benjamin Zander & The Philharmonia Orchestra )"
2016,James Guthrie ( */**/*** ) & Joel Plante ( ** ),Amused To Death,Roger Waters,"Morten Lindberg */**/*** for Amdahl : Astrognosia & Aesop ( Ingar Heine Bergby & Norwegian Radio Orchestra ) Morten Lindberg*/**/*** for Magnificat ( Øyvind Gimse , Anita Brevik , Nidarosdomens Jentekor & Trondheimsolistene ) Erdo Groot*/** , Philip Traugott*** for Shostakovich : Symphony No . 7 ( Paavo Järvi & Russian National Orchestra ) Morten Lindberg*/**/*** for Spes ( Tove Ramlo-Ystad & Cantus )"
2017,"Alexander Lipay* , Dmitriy Lipay*/**/***","Dutilleux : Sur le Même Accord ; Les Citations ; Mystères de l'Instant & Timbres , Espace , Mouvement",Ludovic Morlot & the Seattle Symphony,"Brad Michel*/** & Robina G. Young*** for Johnson : Considering Matthew Shepard ( Craig Hella Johnson & Conspirare Morten Lindberg */**/*** for Maja Ratkje : And Sing ... ( Maja Ratkje , Cikada & the Oslo Sinfonietta ) Les Claypool */*** & Stephen Marcussen ** for Primus & The Chocolate Factory ( 5.1 Surround Sound Edition ) ( Primus ) Morten Lindberg*/**/*** for Reflections ( Oyvind Gimse , Geir Inge Lotsberg & the TrondheimSolistene"
2018,Jim Anderson */Darcy Proper**/Jim Anderson & Jane Ira Bloom ***,Early Americans,Jane Ira Bloom,"Morten Lindberg */**/**** for Kleiberg : Mass for Modern Man ( Eivind Gullberg Jensen & Trondheim Symphony Orchestra & Trondheim Vokalensemble ) Morten Lindberg*/**/*** for So Is My Love ( Nina T. Karlsen & Ensemble 96 ) Fritz Hilpert */*** , Tom Ammermann** for 3-D The Catalogue ( Kraftwerk ) Jesse Brayman*/** , Blanton Alspaugh *** for Tyberg : Masses ( Brian A. Schmidt , Christopher Jacobson & the South Dakota Chorale )"
2019,"Alan Parsons */**/*** , Dave Donnelly** , P.J . Olsson**",Eye in the Sky - 35th Anniversary Edition,Alan Parsons Project,"Morten Lindberg */**/*** for Folketoner ( Anne Karin Sundal-Ask & det Norske Jentekor ) Daniel Shores */** , Dan Merceruio*** for Seven Words From The Cross ( Matthew Guard & Skylark ) Morten Lindberg */**/*** for Sommero : Ujamaa & the Iceberg ( Ingar Heine Bergby & the Trondheim Symphony Orchestra & Choir ) Prashant Mistry*/*** , Ronald Prent*/*** , Darcy Proper ** for Symbol ( Engine-Earz Experiment )"
2020,Morten Lindberg */**/***,Lux,"Anita Brevik , the Trondheimsolistene & the Nidarosdomens Jentekor","Luke Argilla* ; Jurgen Scharpf** ; Jona Bechtolt , Claire L. Evans & Rob Kieswetter *** for Chain Tripping ( Yacht ) Jim Anderson * , Bob Ludwig ** , Ulrike Schwarz*** for Kverndokk : Symphonic Dances ( Ken-David Masur & the Stavanger Symphony Orchestra ) Keith O. Johnson*/** ; Marina A. Ledin & Victor Ledin*** for The Orchestral Organ ( Jan Kraybill ) Bob Clearmountain * ; Bob Ludwig ** ; Michael Marquart & Dave Way *** for The Savior ( A Bad Think )"
