Rank,Athlete,Nationality,Time
1,Stefano Baldini,Italy,1:01:17
2,Josephat Kiprono,Kenya,1:01:30
3,Tendai Chimusasa,Zimbabwe,1:02:00
4,Carlos de la Torre,Spain,1:02:03
5,Toshiyuki Hayata,Japan,1:02:05
6,Neema Tuluway,Tanzania,1:02:30
7,Delmir dos Santos,Brazil,1:02:44
8,Alejandro Gómez,Spain,1:02:47
9,Giacomo Leone,Italy,1:02:48
10,Stéphane Schweickhardt,Switzerland,1:02:49
11,Gemechu Kebede,Ethiopia,1:02:52
12,Masatoshi Ibata,Japan,1:03:07
13,Lucketz Swartbooi,Namibia,1:03:24
14,Katsuhiko Hanada,Japan,1:03:31
15,Ezael Thlobo,South Africa,1:03:32
16,Philip Chirchir,Kenya,1:03:36
17,Vincenzo Modica,Italy,1:03:37
18,Dario Fegatelli,Italy,1:03:38
19,Kamal Kohil,Algeria,1:03:39
20,Christopher Isengwe,Tanzania,1:03:43
