Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Cha Cha Cha,Sıla Şahin Manuela Wisbeck,13,Jürgen Milski,6
Cha-cha-cha ( Dance-Off ),Manuel Cortez,26,Paul Janke,15
Jive,Manuel Cortez,28,Simone Ballack,9
Foxtrot,Paul Janke Sıla Şahin,21,Simone Ballack,13
Paso Doble,Sıla Şahin,30,Paul Janke,11
Waltz,Manuel Cortez,28,Marijke Amado Paul Janke,13
Quickstep,Manuel Cortez,27,Marijke Amado Jürgen Milski,12
Rumba,Manuel Cortez,25,Simone Ballack,8
Tango,Sıla Şahin,21,Marijke Amado,11
Samba,Sıla Şahin,24,Jürgen Milski,8
Viennese Waltz,Sıla Şahin,29,Simone Ballack,11
Freestyle,Manuel Cortez Sıla Şahin,29,Simone Ballack,13
