Title,Year,Role,Production,Notes
Song and Dance,1985,Various roles,Royale Theat er,1985-86
The Winter 's Tale,1989,Ensemble,Joseph Papp Public Theater,
The Winter 's Tale,1989,Ensemble,Anspacher Theater,
Jerome Robbins ' Broadway,1989,Various roles,Imperial Theat er,1989-90
Guys and Dolls,1992,Mimi / Doll,Martin Beck Theat er,1992-95
The Goodbye Girl,1993,Cast of Richard III,Marquis Theat er,
Chronicle of a Death Foretold,1995,Maria,Plymouth Theat er,
Swinging on a Star,1995,Various roles,Music Box Theat er,1995-96
Chicago,1996,Liz,Richard Rodgers Theat er,1996-1997
Chicago,1997,Liz,Shubert Theatre,1997-2003
A Madhouse in Goa,1997,Aliki,Second Stage Theater,
Filumena,1996,Diana,,
Chicago,1997,Liz,Shubert Theatre,1997-2003
