Title,Publisher,Release Date,CERO
Akumajō Dracula,Konami,"December 2 , 2006",A
F-Zero,Nintendo,"December 2 , 2006",A
Street Fighter II : The World Warrior,Capcom,"December 2 , 2006",B
Super Mario World,Nintendo,"December 2 , 2006",A
Zelda no Densetsu : Kamigami no Triforce,Nintendo,"December 2 , 2006",A
"Super Donkey Kong ( not available from December 7 , 2012 to November 26 , 2014 )",Nintendo,"December 12 , 2006",A
Mario no Super Picross,Nintendo,"December 19 , 2006",A
Fire Emblem : Monshō no Nazo,Nintendo,"December 26 , 2006",A
"R-Type III : The Third Lightning ( delisted on March 30 , 2012 )",Irem,"December 26 , 2006",A
SimCity,Nintendo,"December 26 , 2006",A
Contra Spirits,Konami,"January 16 , 2007",A
Fire Emblem : Seisen no Keifu,Nintendo,"January 30 , 2007",A
Kamaitachi no Yoru,Chunsoft,"February 13 , 2007",D
Shin Megami Tensei,Atlus,"February 13 , 2007",A
Chou Makaimura,Capcom,"February 20 , 2007",A
Sangokushi IV,Koei,"February 20 , 2007",A
Ganbare Goemon : Yukihime Kyūshutsu Emaki,Konami,"March 13 , 2007",A
ActRaiser,Square Enix,"March 20 , 2007",A
Heracles no Eikō III : Kamigami no Chinmoku,Paon,"April 6 , 2007",A
Final Fight,Capcom,"April 17 , 2007",B
