Location,Call sign,Frequency,Brand Name
"Belleville , Ontario",CJOJ,95.5 FM,95-5 Hits FM
"Brockville , Ontario",CJPT,103.7 FM,Bob FM
"Calgary , Alberta",CJAQ,96.9 FM,Jack FM
"Chatham / Windsor , Ontario",CKUE,95.1 and 100.7 FM,Cool FM
"Edmonton , Alberta",CKNG,92.5 FM,Joe FM
"Espanola , Ontario",CJJM,99.3 FM,Moose FM
"Halifax , Nova Scotia",CFLT,92.9 FM,Jack FM
"Kawartha Lakes , Ontario",CKLY,91.9 FM,Bob FM
"Kelowna , British Columbia",CJUI,103.9 FM,Juice FM
"London , Ontario",CHST,102.3 FM,Jack FM
"Montreal , Quebec",CKDG,105.1 FM,Mike FM
"North Bay , Ontario",CFXN,106.3 FM,Moose FM
"Parry Sound , Ontario",CKLP,103.3 FM,Moose FM
"Grande Prairie , Alberta",CIKT,98.9 FM,Q99
"Red Deer , Alberta",CKRI,100.7 FM,Cruz FM
"Regina , Saskatchewan",CKCK,94.5 FM,Jack FM
"Saskatoon , Saskatchewan",CFWD,96.3 FM,Cruz FM
"Smiths Falls , Ontario",CJET,92.3 FM,Jack FM
"St. John 's , Newfoundland and Labrador",CKSJ,101.1 FM,Coast 101.1
"Sudbury , Ontario",CHNO,103.9 FM,Rewind 103.9
