Municipality,Cyrillic,Pop,Town/Village,Pop . ( December 2009 )
Venets,Венец,"6,905",Venets,725
Varbitsa,Върбица,"10,492",Varbitsa,"3,585"
Hitrino,Хитрино,"6,423",Hitrino,715
Kaolinovo,Каолиново,"12,251",Kaolinovo,"1,538"
Kaspichan,Каспичан,"8,871",Kaspichan,"3,260"
Nikola Kozlevo,Никола Козлево,"6,381",Nikola Kozlevo,789
Novi Pazar,Нови пазар,"18,476",Novi Pazar,"12,673"
Veliki Preslav,Велики Преслав,"15,292",Veliki Preslav,"8,951"
Smyadovo,Смядово,"7,402",Smyadovo,"4,036"
Shumen,Шумен,"101,597",Shumen,"86,824"
