Name,Position,Club Signed,Date
Terry Newton,hooker,Wakefield Trinity Wildcats,July 2009
Glenn Morrison,Second Row,Wakefield Trinity Wildcats,July 2009
Ben Jeffries,Stand Off,Wakefield Trinity Wildcats,September 2009
David Solomona,Second Row,Warrington Wolves,September 2009
Matt Cook,Second Row,Hull Kingston Rovers,September 2009
Matt James,prop,Harlequins RL,September 2009
Semi Tadulala,wing,Rugby Union,September 2009
Sam Burgess,prop,South Sydney Rabbitohs,September 2009
Paul Deacon,Scrum-half,Wigan Warriors,November 2009
Kieran Hyde,Scrum-half,Wakefield Trinity Wildcats,April 2010
