No,Pos,Name,Age,From
1,GK,Kaharuddin Rahman,21,Negeri Sembilan FA U21
6,DF,Mohd Zulfaizham Kamis,22,Kedah FA
8,MF,Norismaidham Ismail,28,Kuala Lumpur FA
10,FW,Jean-Emmanuel Effa Owona,29,Hatta Club
13,DF,Marian Farbák,29,1 . FC Tatran Prešov
15,MF,Rashid Mahmud,34,Felda United F.C
19,MF,Parameswaran Vijayan,25,Jempol Dream F.C
21,FW,Ahmad Shakir Mohd Ali,23,Kedah FA
22,GK,Badrulzaman Abdul Halim,34,PKNS F.C
23,MF,Mohd Nazrin Mohd Nawi,24,Kuala Lumpur FA
27,MF,Abdul Rahman Abdul Ghani,21,Negeri Sembilan FA U21
29,MF,Muhamad Bukhari Idris,20,Harimau Muda B
