Year,Title,Role
1989,Born on the Fourth of July,U.S. Marine - Vietnam
1990,Internal Affairs,Van Stretch
1990,Flatliners,Joe Hurley
1991,Backdraft,Brian McCaffrey
1993,Three of Hearts,Joe Casella
1993,Sliver,Zeke Hawkins
1995,A Pyromaniac 's Love Story,Garet
1995,Fair Game,Detective Max Kirkpatrick
1996,Curdled,Paul Guell
1998,Bulworth,Constance Bulworth 's Lover
1998,Shattered Image,Brian
1999,Virus,Steve Baker
2000,Primary Suspect,Christian Box
2000,Relative Values,Don Lucas
2001,Double Bang,Billy Brennan
2001,One Eyed King,Frank
2001,Say Nothing,Julian Grant
2002,You Stupid Man,Brady
2003,Red Rover,Will Taylor
2004,Art Heist,Bruce Walker
