Participations,Finishes,Name,Nationality
18 ( 2001-2018 ),"16 ( 2001-2006 , 2008-2011 , 2013-2018 )",Sylvain Chavanel,France
17 ( 1996-2012 ),"13 ( 1997-2003 , 2007-2012 )",George Hincapie,United States
17 ( 1997-2013 ),"15 ( 1997-1999 , 2001-2006 , 2008-2013 )",Stuart O'Grady,Australia
17 ( 1998-2014 ),"14 ( 1998-2002 , 2004 , 2006-2008 , 2010-2014 )",Jens Voigt,Germany
"16 ( 1970-1973 , 1975-1986 )","16 ( 1970-1973 , 1975-1986 )",Joop Zoetemelk,Netherlands
"16 ( 2001-2009 , 2011-2017 )","15 ( 2001-2003 , 2005-2009 , 2011-2017 )",Haimar Zubeldia,Spain
"15 ( 1969-1981 , 1983 , 1985 )","15 ( 1969-1981 , 1983 , 1985 )",Lucien Van Impe,Belgium
"15 ( 1990-1998 , 2000-2004 , 2006 )","15 ( 1990-1998 , 2000-2004 , 2006 )",Viatcheslav Ekimov,Russia
15 ( 1980-1994 ),"13 ( 1981-1982 , 1984-1994 )",Guy Nulens,Belgium
15 ( 1996-2010 ),"11 ( 1996-1997 , 1999-2000 , 2003-2007 , 2009-2010 )",Christophe Moreau,France
15 ( 2003-2017 ),15 ( 2003-2017 ),Thomas Voeckler,France
14 ( 1953-1966 ),"13 ( 1953-1962 , 1964-1966 )",André Darrigade,France
"14 ( 1994-2004 , 2006-2008 )","13 ( 1995-2004 , 2006-2008 )",Erik Zabel,Germany
"14 ( 1978-1985 , 1987-1992 )","12 ( 1978-1985 , 1988-1990 , 1992 )",Sean Kelly,Ireland
14 ( 1962-1976 ),"11 ( 1962-1965 , 1967 , 1969-1972 , 1974-1976 )",Raymond Poulidor,France
"14 ( 1908-1914 , 1920-1928 )","0 7 ( 1909-1914 , 1921 )",Jules Deloffre,France
"13 ( 1981-1988 , 1989-1994 )","13 ( 1981-1988 , 1989-1994 )",Phil Anderson,Australia
"13 ( 1969-1975 , 1977-1981 , 1983 )","12 ( 1969-1975 , 1977-1980 , 1983 )",Joaquim Agostinho,Portugal
"13 ( 1974-1982 , 1984 , 1986-1988 )","11 ( 1974-1975 , 1977-1982 , 1984 , 1986-1987 )",Gerrie Knetemann,Netherlands
13 ( 1977-1989 ),"11 ( 1977-1985 , 1987 , 1989 )",Henk Lubberding,Netherlands
