Club,Manager,City,Stadium,2010 season League ( Playoff )
Busan I'Park,Ahn Ik-Soo,Busan,Busan Asiad Stadium,8th
Chunnam Dragons,Jung Hae-Seong,Gwangyang,Gwangyang Football Stadium,10th
Daegu FC,Lee Young-jin,Daegu,Daegu Stadium Daegu Civic Stadium,15th
Daejeon Citizen,Yoo Sang-Chul,Daejeon,Daejeon World Cup Stadium,13th
Gangwon FC,Kim Sang-ho,Gangneung Chuncheon,Gangneung Stadium Chuncheon Stadium,12th
Gwangju FC,Choi Man-Hee,Gwangju,Gwangju World Cup Stadium,New team
Gyeongnam FC,Choi Jin-Han,Changwon,Changwon Football Center,6th ( 1st Round )
Incheon United,Huh Jung-Moo,Incheon,Incheon Munhak Stadium,11th
Jeju United,Park Kyung-Hoon,Seogwipo,Jeju World Cup Stadium,2nd ( Runners-up )
Jeonbuk Hyundai Motors,Choi Kang-Hee,Jeonju,Jeonju World Cup Stadium,3rd ( Semi-Final )
Pohang Steelers,Hwang Sun-Hong,Pohang,Pohang Steel Yard,9th
Sangju Sangmu Phoenix,Kim Tae-Wan ( interim ),Sangju,Sangju Civic Stadium,14th
Seongnam Ilhwa Chunma,Shin Tae-Yong,Seongnam,Tancheon Sports Complex,5th ( 2nd Round )
FC Seoul,Choi Yong-Soo ( interim ),Seoul,Seoul World Cup Stadium,1st ( Champions )
Suwon Samsung Bluewings,Yoon Sung-Hyo,Suwon,Suwon World Cup Stadium,7th
Ulsan Hyundai,Kim Ho-Gon,Ulsan,Ulsan Munsu Football Stadium,4th ( 1st Round )
