Club,City,Stadium,Capacity,2015-16 season
Argentina,Arma di Taggia,Ezio Sclavi,,5th in Serie D Girone A
Fezzanese,Porto Venere,Miro Luperi ( Sarzana ),,17th in Serie D Girone A
FBC Finale,Finale Ligure,Edoardo Riboli,,1st in Eccellenza Liguria
Gavorrano,Gavorrano,Romeo Malservisi,"2,000",12th in Serie D Girone E
Ghivizzano Borgoamozzano,Coreglia Antelminelli & Borgo a Mozzano,Carraia,,9th in Serie D Girone F
Grosseto,Grosseto,Carlo Zecchini,"10,200",2nd in Serie D Girone G
Jolly Montemurlo,Montemurlo,Aldo Nelli,400,9th in Serie D Girone E
Lavagnese,Lavagna,Edoardo Riboli,"1,250",3rd in Serie D Girone A
Ligorna,Genoa,Ligorna A,,15th in Serie D Girone A
Massese,Massa,degli Oliveti,"11,500",5th in Serie D Girone E
Ponsacco,Ponsacco,Comunale,"3,220",4th in Serie D Girone E
Real Forte Querceta,Forte dei Marmi,Necchi Balloni,,1st in Eccellenza Tuscany Girone A
Sanremese,Sanremo,Comunale,"4,000",2nd in Eccellenza Liguria
Savona,Savona,Velerio Bacigalupo,"4,000",18th in Lega Pro Girone B
Sestri Levante,Sestri Levante,Giuseppe Sivori,"1,500",7th in Serie D Girone A
Sporting Recco,Recco,San Rocco,,9th in Serie D Girone A
Valdinievole Montecatini,Montecatini Terme,Daniele Mariotti,"4,600",2nd in Serie D Girone E
Viareggio 2014,Viareggio,Torquato Bresciani,"7,000",12th in Serie D Girone E
