2010,University,Country
01,University of Colorado- Boulder,US
02,University of Washington- Seattle,US
03,California Institute of Technology,US
04,Swiss Federal Institute of Technology- Zurich,Switzerland
05,University of California- Berkeley,US
06,Columbia University,US
07,Massachusetts Institute of Technology,US
08,University of California- San Diego,US
09,University of Hawaii,US
10,Harvard University,US
11,The University of Tokyo,Japan
12,University of Maryland- College Park,US
13,University of Arizona,US
14,University of Wisconsin- Madison,US
15,University of Cambridge,United Kingdom
16,Colorado State University,US
17,University of Paris VI : Pierre et Marie Curie,France
18,The Australian National University,Australia
19,University of California- Los Angeles,US
20,University of Oxford,United Kingdom
