Church,Dates,"City , State"
St. Paul A.M.E. Church,built NRHP-listed,"Columbia , Missouri"
Greenlawn Methodist Church and Cemetery,built NRHP-listed,"Perry , Missouri"
Manchester Methodist Episcopal Church,built NRHP-listed,"Manchester , Missouri"
Northern Methodist Episcopal Church of Clarksville,built NRHP-listed,"Clarksville , Missouri"
Quinn Chapel AME Church,built NRHP-listed,"St. Louis , Missouri"
Oakley Chapel African Methodist Episcopal Church,built NRHP-listed,"Tebbetts , Missouri"
Olive Chapel African Methodist Episcopal Church,built NRHP-listed,"Kirkwood , Missouri"
Washington Metropolitan African Methodist Episcopal Zion Church,built NRHP-listed,"St. Louis , Missouri"
"Centenary Methodist Episcopal Church , South",built NRHP-listed,"St. Louis , Missouri"
Missouri United Methodist Church,built NRHP-listed,"Columbia , Missouri"
"First Methodist Church ( Excelsior Springs , Missouri )",built NRHP-listed,"Excelsior Springs , Missouri"
Bond 's Chapel Methodist Episcopal Church,built NRHP-listed,"Hartsburg , Missouri"
Campbell Chapel African Methodist Episcopal Church,built NRHP-listed,"Glasgow , Missouri"
Warren Street Methodist Episcopal Church,built NRHP-listed,"Warrensburg , Missouri"
"Cook Avenue Methodist Episcopal Church , South",built NRHP-listed,"St. Louis , Missouri"
Washington Chapel C.M.E . Church,built NRHP-listed,"Parkville , Missouri"
