#,Title,Characters,Director,Year,Series
1,Bewitched Bunny,"Bugs , Witch Hazel",Chuck Jones,"July 24 , 1954",LT
2,Paying the Piper,Porky,Robert McKimson,"March 12 , 1949",LT
3,The Bear 's Tale,,Tex Avery,"April 13 , 1940",MM
4,Foney Fables,,Friz Freleng,"August 1 , 1942",MM
5,Goldimouse and the Three Cats,"Sylvester , Sylvester Jr",Friz Freleng,"March 19 , 1960",LT
6,Holiday for Shoestrings,,Friz Freleng,"February 23 , 1946",MM
7,Little Red Rodent Hood,"Sylvester , Hector",Friz Freleng,"May 3 , 1952",MM
8,Little Red Walking Hood,Egghead,Tex Avery,"November 6 , 1937",MM
9,Red Riding Hoodwinked,"Tweety , Sylvester , Granny",Friz Freleng,"October 29 , 1955",LT
10,The Trial of Mr. Wolf,,Friz Freleng,"April 26 , 1941",MM
11,The Turn-Tale Wolf,Big Bad Wolf and nephew wolf,Robert McKimson,"June 28 , 1952",MM
12,Tom Thumb in Trouble,,Chuck Jones,"June 8 , 1940",MM
13,Tweety and the Beanstalk,"Tweety , Sylvester",Friz Freleng,"March 16 , 1957",MM
14,A Gander at Mother Goose,,Tex Avery,"May 25 , 1940",MM
15,Señorella and the Glass Huarache,,Hawley Pratt,"August 1 , 1964",LT
