Year,Champion,Coach,Result,Runner-up,Coach
1949,Minneapolis Lakers,John Kundla,2-0,Rochester Royals,Les Harrison
1950,Anderson Packers,Doxie Moore,2-1,Indianapolis Olympians,Cliff Barker
1951,Rochester Royals,Les Harrison,3-1,Minneapolis Lakers,John Kundla
1952,Minneapolis Lakers,John Kundla,3-1,Rochester Royals,Les Harrison
1953,Minneapolis Lakers,John Kundla,3-2,Fort Wayne Pistons,Cliff Barker
1954,Minneapolis Lakers,John Kundla,2-1,Rochester Royals,Les Harrison
1955,Fort Wayne Pistons,Charles Eckman,3-1,Minneapolis Lakers,John Kundla
1956,Fort Wayne Pistons,Charles Eckman,3-2,St. Louis Hawks,Red Holzman
1957,St. Louis Hawks,Alex Hannum,3-0,Minneapolis Lakers,John Kundla
1958,St. Louis Hawks,Alex Hannum,4-1,Detroit Pistons,Red Rocha
1959,Minneapolis Lakers,John Kundla,4-2,St. Louis Hawks,Ed Macauley
1960,St. Louis Hawks,Ed Macauley,4-3,Minneapolis Lakers,Jim Pollard
1961,St. Louis Hawks,Paul Seymour,4-3,Los Angeles Lakers,Fred Schaus
1962,Los Angeles Lakers,Fred Schaus,4-2,Detroit Pistons,Dick McGuire
1963,Los Angeles Lakers,Fred Schaus,4-3,St. Louis Hawks,Harry Gallatin
1964,San Francisco Warriors,Alex Hannum,4-3,St. Louis Hawks,Dick McGuire
1965,Los Angeles Lakers,Fred Schaus,4-2,Baltimore Bullets,Buddy Jeannette
1966,Los Angeles Lakers,Fred Schaus,4-3,St. Louis Hawks,Richie Guerin
1967,San Francisco Warriors,Bill Sharman,4-2,St. Louis Hawks,Richie Guerin
1968,Los Angeles Lakers,Butch Van Breda Kolff,4-0,San Francisco Warriors,Bill Sharman
