City Name,Native Name,Metro Population,Country
Bangkok,กรุงเทพมหานครฯ,"14,500,000",Thailand
Delhi,दिल्ली,"21,000,000",India
Hanoi,Hà Nội,"16,100,000",Vietnam
Jakarta,Jakarta,"30,000,000",Indonesia
Kuala Lumpur,Kuala Lumpur,"7,200,000",Malaysia
Metropolitan Manila,Kalakhang Maynila,"19,700,000",Philippines
Seoul,서울,"25,620,000",South Korea
Singapore,Singapore,"5,535,000",Singapore
Taipei,台北 臺北,"7,042,210",Taiwan
Tokyo,東京 とうきょう トウキョウ,"37,800,000",Japan
Tomsk,Томск,"1,045,541",Russia
Ulaanbaatar,Улаанбаатар,"1,372,000",Mongolia
Yangon,ရန်ကုန်,"7,610,703",Myanmar
