#,Name in French,Name in Dutch,Opened,Interchange
1,Gare du Nord,Noordstation,1976,Belgian Rail
2,Rogier,Rogier,1976,"Line 2 , Line 6"
3,De Brouckère,De Brouckère,1976,"Line 1 , Line 5"
4,Bourse,Beurs,1976,None
5,Anneessens,Anneessens,1976,None
6,Lemonnier,Lemonnier,1976,None
7,Gare du Midi,Zuidstation,1988,"Belgian Rail , Thalys , Eurostar , ICE , Line 2 , Line 6"
8,Porte de Hal,Hallepoort,1988,"Line 2 , Line 6"
9,Parvis de Saint-Gilles,Sint-Gillis Voorplein,1993,None
10,Horta,Horta,1993,None
11,Albert,Albert,1993,None
