Rank,Mark,Athlete,Location,Date
1,86.74 m ( 284 ft 6 ⁄ 4 in ),Yuriy Sedykh ( URS ),Stuttgart,30 August 1986
2,86.04 m ( 282 ft 3 ⁄ 4 in ),Sergey Litvinov ( URS ),Dresden,3 July 1986
3,84.90 m ( 278 ft 6 ⁄ 2 in ),Vadim Devyatovskiy ( BLR ),Minsk,21 July 2005
4,84.86 m ( 278 ft 4 ⁄ 4 in ),Koji Murofushi ( JPN ),Prague,29 June 2003
5,84.62 m ( 277 ft 7 ⁄ 4 in ),Igor Astapkovich ( BLR ),Seville,6 June 1992
6,84.51 m ( 277 ft 3 in ),Ivan Tsikhan ( BLR ),Grodno,9 July 2008
7,84.48 m ( 277 ft 1 ⁄ 4 in ),Igor Nikulin ( URS ),Lausanne,12 July 1990
8,84.40 m ( 276 ft 10 ⁄ 4 in ),Jüri Tamm ( URS ),Banská Bystrica,9 September 1984
9,84.19 m ( 276 ft 2 ⁄ 2 in ),Adrián Annus ( HUN ),Szombathely,10 August 2003
10,83.93 m ( 275 ft 4 ⁄ 4 in ),Paweł Fajdek ( POL ),Szczecin,9 August 2015
11,83.68 m ( 274 ft 6 ⁄ 4 in ),Tibor Gécsek ( HUN ),Zalaegerszeg,19 September 1998
12,83.46 m ( 273 ft 9 ⁄ 4 in ),Andrey Abduvaliyev ( URS ),Sochi,26 May 1990
13,83.43 m ( 273 ft 8 ⁄ 2 in ),Aleksey Zagornyi ( RUS ),Adler,10 February 2002
14,83.40 m ( 273 ft 7 ⁄ 4 in ),Ralf Haber ( DDR ),Athens,16 May 1988
15,83.38 m ( 273 ft 6 ⁄ 2 in ),Szymon Ziółkowski ( POL ),Edmonton,5 August 2001
16,83.30 m ( 273 ft 3 ⁄ 2 in ),Olli-Pekka Karjalainen ( FIN ),Lahti,14 July 2004
17,83.04 m ( 272 ft 5 ⁄ 4 in ),Heinz Weis ( DEU ),Frankfurt,29 June 1997
18,83.00 m ( 272 ft 3 ⁄ 2 in ),Balázs Kiss ( HUN ),Saint-Denis,4 June 1998
19,82.78 m ( 271 ft 7 in ),Karsten Kobs ( DEU ),Dortmund,26 June 1999
20,82.69 m ( 271 ft 3 ⁄ 2 in ),Krisztián Pars ( HUN ),Zürich,16 August 2014
