Team,City,Stadium,Capacity,Head Coach
Atlético F.C,Cali,Pascual Guerrero,"33,130",Giovanni Hernández
Atlético Huila,Neiva,Guillermo Plazas Alcid,"22,000",Dayron Pérez
Barranquilla F.C,Barranquilla,Romelio Martínez,"20,000",Everth Salas
Boca Juniors de Cali,Cali,Pascual Guerrero,"33,130",Alejandro Guerrero
Bogotá F.C,Bogotá,Metropolitano de Techo,"8,000",Mauricio Roa
Cortuluá,Tuluá,Doce de Octubre,"16,000",Jaime de la Pava
Deportes Quindío,Armenia,Centenario,"21,500",Óscar Quintabani
Fortaleza C.E.I.F,Cota,Municipal de Cota,"4,000",Pablo Garabello
Leones F.C,Itagüí,Metropolitano Ciudad de Itagüí,"12,000",Álvaro Hernández
Llaneros F.C,Villavicencio,Manuel Calle Lombana,"15,000",John Ramírez ( caretaker )
Orsomarso S.C,Palmira,Francisco Rivera Escobar,"9,000",José Gabriel Sangiovanni
Real Cartagena,Cartagena,Jaime Morón León,"16,068",Milton García
Real San Andrés,San Andrés Island,Erwin O'Neill,"5,000",José Luis García
Tigres F.C,Bogotá,Metropolitano de Techo,"8,000",Diego Díaz
Unión Magdalena,Santa Marta,Sierra Nevada,"16,000",Carlos Silva
Valledupar F.C,Valledupar,Armando Maestre Pavajeau,"11,000",Nilton Bernal
