Year,Player,High School,Hometown,State/province,College choice
1987,Dennis Scott,Flint Hill Prep,Hagerstown,Maryland,Georgia Tech
1988,Alonzo Mourning,Indian River High School,Chesapeake,Virginia,Georgetown
1989,Kenny Anderson,Archbishop Molloy High School,Jamaica,New York,Georgia Tech
1990,Damon Bailey,Bedford North Lawrence High School,Bedford,Indiana,Indiana
1991,Chris Webber,Detroit Country Day School,Beverly Hills,Michigan,Michigan
1992,Jason Kidd,St. Joseph Notre Dame High School,Oakland,California,California
1993,Randy Livingston,Isidore Newman School,New Orleans,Louisiana,LSU
1994,Jerod Ward,Clinton High School,Clinton,Mississippi,Michigan
1995,Ron Mercer,Oak Hill Academy,Nashville,Tennessee,Kentucky
1996,Kobe Bryant,Lower Merion High School,Ardmore,Pennsylvania,none
1997,Shane Battier,Detroit Country Day School,Beverly Hills,Michigan,Duke
1998,Al Harrington,St. Patrick High School,Elizabeth,New Jersey,none
1999,Donnell Harvey,Randolph-Clay High School,Cuthbert,Georgia,Florida
2000,Gerald Wallace,Childersburg High School,Childersburg,Alabama,Alabama
2001,Dajuan Wagner,Camden High School,Camden,New Jersey,Memphis
2002,Raymond Felton,Latta High School,Latta,South Carolina,North Carolina
2003,LeBron James,St. Vincent - St. Mary High School,Akron,Ohio,none
2004,Dwight Howard,Southwest Atlanta Christian Academy,Atlanta,Georgia,none
2005,Louis Williams,South Gwinnett High School,Snellville,Georgia,none
2006,Greg Oden,Lawrence North High School,Indianapolis,Indiana,Ohio State
