Position,Jersey No,Player,Years on Team,# of Pro Bowls,Hall of Fame
1 Quarterback,12,"Bradshaw , Terry Terry Bradshaw",1970 - 1983,3,Yes
2 Running back,20,"Bleier , Rocky Rocky Bleier","1968 , 1971 - 1980",-,No
2 Running back,32,"Harris , Franco Franco Harris",1972 - 1983,9,Yes
3 Wide receiver,82,"Stallworth , John John Stallworth",1974 - 1987,4,Yes
3 Wide receiver,88,"Swann , Lynn Lynn Swann",1974 - 1982,4,Yes
4 Tight end,81,"Nickel , Elbie Elbie Nickel",1947 - 1957,3,No
5 Center,52,"Webster , Mike Mike Webster",1974 - 1988,9,Yes
6 Guard,72,"Mullins , Gerry Gerry Mullins",1971 - 1979,-,No
6 Guard,57,"Davis , Sam Sam Davis",1967 - 1979,-,No
7 Tackle,79,"Brown , Larry Larry Brown",1971 - 1984,1,No
7 Tackle,55,"Kolb , Jon Jon Kolb",1969 - 1981,-,No
