Seasons,Players,Nationality,Teams/Club,League
2019,Diogo Luís Santo,Brazil,Johor Darul Ta'zim F.C,Super League
2018,Rufino Segovia,Spain,Selangor FA,Super League
2017,Liridon Krasniqi,Kosovo,Kedah FA,Super League
2016,Jorge Pereyra Díaz,Argentina,Johor Darul Ta'zim F.C,Super League
2015,Luciano Figueroa,Argentina,Johor Darul Ta'zim F.C,Super League
2014,Ali Ashfaq,Maldives,PDRM FA,Premier League
2013,Marlon Alex James,Saint Vincent and the Grenadines,ATM FA,Super League
2012,Marlon Alex James,Saint Vincent and the Grenadines,ATM FA,Premier League
2007-08,Marlon Alex James,Saint Vincent and the Grenadines,Kedah FA,Super League
2005-06,Christian Bekamenga,Cameroon,Negeri Sembilan FA,Super League
