Position,Nationality,Artist,Weeks # 1
1,United States,Lady Gaga,10
2,United States,Pitbull,5
3,Belgium,Milow,4
3,Netherlands,Lisa,4
3,Netherlands,Anouk,4
3,United Kingdom,Robbie Williams,4
4,Suriname,Damaru,3
4,Netherlands,Jan Smit,3
4,United Kingdom,Snow Patrol,3
5,United States,Katy Perry,2
5,Brazil,Cidinho & Doca,2
5,United States,Colby O'Donis,2
5,Netherlands,Ilse DeLange,2
5,Norway,Madcon,2
5,United States,The Black Eyed Peas,2
5,Germany,Cascada,2
5,Romania,Edward Maya,2
5,Romania,Vika Jigulina,2
6,United States,Owl City,1
