No,Name,Date of birth,Height,Weight,Spike,Block,2018-19 club
1,Daan van Haarlem,15 March 1989,1.98 m ( 6 ft 6 in ),89 kg ( 196 lb ),332 cm ( 131 in ),323 cm ( 127 in ),Levski Sofia
2,Wessel Keemink,29 May 1993,1.97 m ( 6 ft 6 in ),81 kg ( 179 lb ),337 cm ( 133 in ),326 cm ( 128 in ),Aalst
3,Maarten van Garderen,24 January 1990,2.00 m ( 6 ft 7 in ),89 kg ( 196 lb ),359 cm ( 141 in ),338 cm ( 133 in ),Trentino
4,Thijs ter Horst,18 September 1991,2.04 m ( 6 ft 8 in ),94 kg ( 207 lb ),364 cm ( 143 in ),344 cm ( 135 in ),Daejeon Bluefangs
5,Dirk Sparidans,5 March 1989,1.81 m ( 5 ft 11 in ),86 kg ( 190 lb ),326 cm ( 128 in ),300 cm ( 120 in ),Nantes
6,Jasper Diefenbach,17 March 1988,1.95 m ( 6 ft 5 in ),90 kg ( 200 lb ),345 cm ( 136 in ),330 cm ( 130 in ),Tours
7,Gijs Jorna,30 May 1989,1.96 m ( 6 ft 5 in ),85 kg ( 187 lb ),340 cm ( 130 in ),310 cm ( 120 in ),Spacer 's Toulouse
10,Jeroen Rauwerdink,13 September 1985,2.00 m ( 6 ft 7 in ),92 kg ( 203 lb ),350 cm ( 140 in ),320 cm ( 130 in ),Olympiacos
12,Tim Smit,31 December 1989,2.01 m ( 6 ft 7 in ),92 kg ( 203 lb ),343 cm ( 135 in ),332 cm ( 131 in ),Tourcoing
14,Nimir Abdel-Aziz ( C ),5 February 1992,2.01 m ( 6 ft 7 in ),86 kg ( 190 lb ),365 cm ( 144 in ),350 cm ( 140 in ),Milano
15,Thomas Koelewijn,18 December 1988,2.06 m ( 6 ft 9 in ),100 kg ( 220 lb ),360 cm ( 140 in ),350 cm ( 140 in ),Stade Poitevin Poitiers
16,Wouter ter Maat,7 May 1991,2.00 m ( 6 ft 7 in ),90 kg ( 200 lb ),351 cm ( 138 in ),338 cm ( 133 in ),Fenerbahçe
17,Michaël Parkinson,23 November 1991,2.03 m ( 6 ft 8 in ),98 kg ( 216 lb ),365 cm ( 144 in ),350 cm ( 140 in ),Nantes
19,Just Dronkers,7 June 1993,1.87 m ( 6 ft 2 in ),78 kg ( 172 lb ),330 cm ( 130 in ),308 cm ( 121 in ),Maaseik
