District,Representative,Party,Residence,First Elected,Term Limited
1,Linda Bolon,Democrat,East Palestine,2006,2014
2,Jon Peterson,Republican,Delaware,2000,2008
3,Jim Carmichael,Republican,Wooster,2000,2008
4,Matt Huffman,Republican,Lima,2006,2014
5,Gerald Stebleton,Republican,Lancaster,2006,2014
6,Randy Gardner,Republican,Bowling Green,2008 ( Appt . ),2016
7,Kenny Yuko,Democrat,Richmond Heights,2004,2012
8,Armond Budish,Democrat,Beachwood,2006,2014
9,Barbara Boyd,Democrat,Cleveland Heights,2006,2014
10,Eugene Miller,Democrat,Cleveland,2006,2014
11,Sandra Williams,Democrat,Cleveland,2006,2014
12,Michael DeBose,Democrat,Cleveland,2002 ( Appt . ),2010
13,Michael J. Skindell,Democrat,Lakewood,2002,2010
14,Michael Foley,Democrat,Cleveland,2006 ( Appt . ),2014
15,Timothy J. DeGeeter,Democrat,Parma,2003 ( Appt . ),2012
16,Jennifer Brady,Democrat,Westlake,2006,2014
17,Josh Mandel,Republican,Lyndhurst,2006,2014
18,Tom Patton,Republican,Strongsville,2002,2010
19,Larry L. Flowers,Republican,Canal Winchester,2000,2008
20,Jim McGregor,Republican,Gahanna,2001 ( Appt . ),2010
