Team,City,Arena,Capacity
Crvena zvezda,Belgrade,SC Šumice,"1,300"
Dinamo,Pančevo,SH Strelište,"1,100"
Jugović,Kać,Hram Sport Hall,"2,000"
Metaloplastika,Šabac,Hala Zorka,"2,300"
Mokra Gora,Zubin Potok,SRC Mokra Gora,800
Obilić,Belgrade,SC Voždovac,"2,300"
Partizan,Belgrade,SC Banjica,"2,000"
Požarevac,Požarevac,SC Požarevac,"2,500"
Rudar,Kostolac,SC Kostolac,"1,000"
Sloga,Požega,SC Požega,"1,300"
Spartak Vojput,Subotica,SC Subotica,"3,000"
Šamot 65,Aranđelovac,SC Šumadija,"1,540"
Vojvodina,Novi Sad,SC Slana Bara,"1,500"
Železničar 1949,Niš,Čair Sports Center,"4,000"
