Team,City,Stadium,Capacity,Field
Alfonso Ugarte,Puno,Enrique Torres Belón,"20,000",Grass
Alianza Lima,Lima,Alejandro Villanueva,"35,000",Grass
Atlético Chalaco,Callao,Miguel Grau,"15,000",Grass
Carlos A. Mannucci,Trujillo,Mansiche,"24,000",Grass
Cienciano,Cusco,Garcilaso,"40,000",Grass
CNI,Iquitos,Max Augustín,"24,000",Grass
Defensor Lima,Lima,Nacional,"45,750",Grass
Deportivo Junín,Huancayo,Huancayo,"20,000",Grass
Deportivo Municipal,Lima,Nacional,"45,750",Grass
Juan Aurich,Chiclayo,Elías Aguirre,"24,500",Grass
León de Huánuco,Huánuco,Heraclio Tapia,"15,000",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
Sport Boys,Callao,Miguel Grau,"15,000",Grass
Sporting Cristal,Lima,Nacional,"45,750",Grass
Unión Huaral,Huaral,Julio Lores Colan,"10,000",Grass
Universitario,Lima,Nacional,"45,750",Grass
