Name,Type,Class,Dates,Notes
HMAS Labuan,Landing ship,LST ( 3 ),1946-1955,from Royal Navy
HMAS Labuan,Landing craft,Balikpapan,1973-2014,
HMAS Lachlan,Frigate,River,1945-1949,to New Zealand
HMAS Ladava,Patrol boat,Attack,1968-1975,to Papua New Guinea
HMAS Lae,Landing ship,LST ( 3 ),1946-1955,from Royal Navy
HMAS Lae,Patrol boat,Attack,1968-1975,to Papua New Guinea
HMAS Latrobe,Corvette,Bathurst,1942-1956,
HMAS Launceston,Corvette,Bathurst,1942-1946,to Turkey
HMAS Launceston,Patrol boat,Fremantle,1982-2006,
HMAS Lismore,Corvette,Bathurst,1941-1946,to Netherlands
HMAS Lithgow,Corvette,Bathurst,1941-1956,
HMAS Lonsdale,Torpedo boat,,1901-1912,from colonial navy of Victoria
HMAS LST 3008,Landing ship,LST ( 3 ),1946-1950,from Royal Navy
HMAS LST 3014,Landing ship,LST ( 3 ),1946-1950,from Royal Navy
HMAS LST 3022,Landing ship,LST ( 3 ),1946-1950,from Royal Navy
