Artist,Song Title,US,AU,DE
4 Non Blondes,What 's Up ?,No,Yes,No
Alice in Chains,Would ?,Yes,No,No
Audioslave,Cochise,Yes,No,No
Beatsteaks,Cut off the Top,No,No,Yes
Blind,Break Away,No,No,Yes
Blink-182,I Miss You,Yes,Yes,Yes
Blue Öyster Cult,( Do n't Fear ) The Reaper,Yes,Yes,Yes
Bonfire,You Make Me Feel,No,No,Yes
Boston,More Than a Feeling,Yes,No,No
Caesars,Jerk It Out,No,No,Yes
Cheap Trick,I Want You to Want Me,Yes,Yes,Yes
The Choirboys,Run to Paradise,No,Yes,No
The Cure,Primary,No,Yes,No
David Bowie,Changes,Yes,Yes,Yes
Die Toten Hosen,Warum Werde Ich Nicht Satt,No,No,Yes
Divinyls,Boys in Town,No,Yes,No
Faith No More,Evidence,No,Yes,No
Faker,This Heart Attack,No,Yes,No
Fall Out Boy,"This Ai n't a Scene , It 's an Arms Race",Yes,Yes,Yes
Foo Fighters,Best of You,Yes,No,No
