Team,Head Coach,Venue,Capacity,City,State
Al-Ahli ( Wad Medani ),,Algazira Stadium,"15,000",Wad Madani,Al Jazirah
Al-Hilal ( Kadougli ),Bakri Abdulgalil,Kadugli Stadium,"1,000",Kaduqli,South Kurdufan
Al-Hilal Omdurman,Dutra,AlHilal Stadium,"45,000",Omdurman,Khartoum
Al-Hilal ( Port Sudan ),,Stade Port Sudan,"7,000",Port Sudan,Red Sea
Al-Ittihad ( Wad Medani ),Mahir Hamam,Stade Wad Medani,"5,000",Wad Madani,Al Jazirah
Al-Merreikh,Rodion Gačanin,Al Merreikh Stadium,"42,000",Omdurman,Khartoum
Al-Mourada,Borhan Tia,Stade de Omdurman,"14,000",Omdurman,Khartoum
Al-Nil Al-Hasahesa,Gamal Abdallah,Al-Hasahesa Stadium,"3,000",Al-Hasahesa,Al Jazirah
Amal Atbara,,Stade Al-Amal Atbara,"4,000",Atbara,River Nile
Hay al-Arab Port Sudan,Raeft Maki,Stade Port Sudan,"7,000",Port Sudan,Red Sea
Al-Khartoum,Alfateh Alnager,Khartoum Stadium,"33,500",Khartoum,Khartoum
Al Merghani Kassala,Mubarak Sulieman,Stade Al-Merghani Kassala,"11,000",Kassala,Kassala
Al-Shimali,,Atbara Stadium,"15,000",Atbara,River Nile
