Property,Date,Municipality,Ownership,Ref
Jizō with the Ten Kings of Hell 地蔵十王図 Jizō jūō zu,C14,Sagae,Kezō-in ( 華蔵院 ),[ 28 ]
"Mount Fuji , byōbu , by Takeuchi Seihō 竹内棲鳳筆 冨士図 六曲屏風 Takeuchi Seihō hitsu Fuji zu rokkyoku byōbu",late C19,Sakata,Homma Museum of Art,[ 29 ]
"Peonies , by Takahashi Sōhei 高橋草坪 筆 牡丹図 Takahashi Sōhei hitsu botan zu",C19,Sakata,private,[ 30 ]
"Copperplate Landscapes , by Shiba Kōkan 司馬江漢筆 銅版風景図 Shiba Kōkan hitsu dōban fūkei zu",Edo period,Sakata,Homma Museum of Art,[ 31 ]
"American Ship , by Honma Hokuyō 本間北曜 筆 アメリカ船図 Honma Hokuyō hitsu Amerika-fune zu",1853,Sakata,Homma Museum of Art,[ 32 ]
"Four Asleep , by Nagasawa Rosetsu 長沢芦雪筆 四睡図 Nagasawa Rosetsu hitsu shi-sui zu",C18,Sakata,Homma Museum of Art,[ 33 ]
"Figures of Foreigners , emakimono , by Ohara Keizan 小原慶山 筆 異人形容図巻 Ohara Keizan hitsu Ijin keiyō zu maki",C18,Sakata,Homma Museum of Art,[ 34 ]
"Tao Yuanming , by Maruyama Ōkyo 円山応挙筆 五柳先生図 Maruyama Ōkyo hitsu Goryū Sensei zu",C18,Sakata,,[ 35 ]
"Mañjuśrī in the Clouds , by Kanō Tsunenobu 狩野常信筆 雲中文殊之図 Kanō Tsunenobu hitsu kumo naka Monju no zu",early Edo period,Sakata,,[ 36 ]
"Broom , by Yosa Buson 與謝蕪村筆 箒図 Yosa Buson hitsu hōki zu",C18,Sakata,,[ 37 ]
"Hotei , by Itō Jakuchū 伊藤若冲筆 布袋図 Itō Jakuchū hitsu Hotei zu",C18,Sakata,Homma Museum of Art,[ 38 ]
"Fierce Tiger , by Ganku 岸駒筆 猛虎図 Ganku hitsu mōko zu",Edo period,Sakata,Homma Museum of Art,[ 39 ]
"Fishing-Folk , by Watanabe Kazan 渡辺崋山筆 漁民図 画賛 Watanabe Kazan hitsu Gyomin zu gasan",C19,Sakata,,[ 40 ]
"Revenge of the Loyal Samurai of Akō , by Yasuda Raishū 安田雷洲 筆 赤穂義士復讐図 Yasuda Raishū hitsu Akō gishi fukushū zu",C19,Sakata,Homma Museum of Art,[ 41 ]
"Sakata Sannō Festival , byōbu , by Igarashi Unrei 五十嵐雲嶺筆 酒田山王例祭 図 六曲屏風 Igarashi Unrei hitsu Sakata Sannō reisai rokkyoku byōbu",1851,Sakata,private,[ 42 ]
"Salted Salmon , by Ikeda Kametarō 池田亀太郎筆 塩鮭図 Ikeda Kametarō hitsu shiozake zu",C19/20,Sakata,Sakata City Museum of Art,[ 43 ]
"Distant View of Matsuyama Castle , by Tanaka Seikyo 松山城 遠望図 田中静居筆 Matsuyama-jō enbō zu Tanaka Seikyo hitsu",C19,Sakata,,[ 44 ]
