Rank,Athlete,Nationality,Time
1,Gaston Roelants,Belgium,37:43
2,Mariano Haro,Spain,38:01
3,Ian Stewart,Scotland,38:20
4,Tapio Kantanen,Finland,38:25
5,Trevor Wright,England,38:26
6,Pekka Päivärinta,Finland,38:28
7,Eric de Beck,Belgium,38:31
8,Tony Simmons,England,38:36
9,Haddou Jaddour,Morocco,38:43
10,Lucien Rault,France,38:47
11,Mohamed Ben Abdelsalem,Morocco,38:50
12,Mejjati Lahcen,Morocco,38:52
13,Moumoh Haddou,Morocco,38:56
14,Juan Hidalgo,Spain,39:04
15,Alan Rushmer,England,39:16
16,Colin Robinson,England,39:16
17,Karel Lismont,Belgium,39:21
18,Grenville Tuck,England,39:28
19,Malcolm Thomas,Wales,39:33
20,Jim Alder,Scotland,39:35
