Rank,Title,Studio,Total Gross ( in millions )
1,The Dark Knight,Warner Bros,$ 50.69
2,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,$ 27.69
3,Iron Man,Paramount,$ 26.22
4,Quantum of Solace,Columbia,$ 22.56
5,Mamma Mia !,Universal,$ 18.63
6,Hancock,Columbia,$ 18.50
7,Twilight,Summit,$ 18.01
8,WALL-E,Disney / Pixar,$ 17.38
9,Kung Fu Panda,Paramount/ DreamWorks,$ 17.04
10,Slumdog Millionaire,Fox Searchlight,$ 16.70
11,Madagascar : Escape 2 Africa,Paramount/DreamWorks,$ 16.49
12,Sex and the City,Warner Bros,$ 16.29
13,The Curious Case of Benjamin Button,Paramount,$ 13.26
14,Wanted,Universal,$ 11.86
15,The Chronicles of Narnia : Prince Caspian,Disney,$ 11.84
16,Tropic Thunder,Paramount/DreamWorks,$ 11.69
17,Step Brothers,Columbia,$ 11.37
18,Journey to the Center of the Earth,Warner Bros,$ 11.34
19,Get Smart,Warner Bros,$ 11.33
20,Horton Hears a Who !,Fox,$ 11.10
