Code,Name ( s ),Purpose
E1000,Cholic acid,emulsifier
E1001,Choline salts,emulsifier
E1100,Amylase,"stabiliser , flavour enhancer"
E1101,"Proteases ( ( i ) Protease , ( ii ) Papain , ( iii ) Bromelain , ( iv ) Ficin )","stabiliser , flavour enhancer"
E1102,Glucose oxidase,antioxidant
E1103,Invertase,stabiliser
E1104,Lipases,
E1105,Lysozyme,preservative
E1200,Polydextrose,"stabiliser , thickening agent , humectant , carrier"
E1201,Polyvinylpyrrolidone,stabiliser
E1202,Polyvinylpolypyrrolidone ( carrier ),stabiliser
E1203,Polyvinyl alcohol,
E1204,Pullulan,
E1400,"Dextrin ( Dextrins , roasted starch white and yellow ) ( stabiliser )",thickening agent
E1401,Modified starch ( ( Acid-treated starch ) stabiliser ),thickening agent
E1402,Alkaline modified starch ( stabiliser ),thickening agent
E1403,Bleached starch ( stabiliser ),thickening agent
E1404,Oxidized starch ( emulsifier ),thickening agent
E1405,Enzyme treated starch,
E1410,Monostarch phosphate ( stabiliser ),thickening agent
