Medal,Name,Sport,Event
Silver,Jaspal Rana,Shooting,Air Pistol
Silver,Roopa Unnikrishnan,Shooting,"Small Bore Rifle , Three Positions"
Silver,Badathala Adisekhar,Weightlifting,Flyweight-Snatch
Silver,Murgesan Veerasamy,Weightlifting,Flyweight-Overall
Silver,Chandersekaran Raghavan,Weightlifting,Bantamweight-Snatch
Silver,Chandersekaran Raghavan,Weightlifting,Bantamweight-Clean and Jerk
Silver,Chandersekaran Raghavan,Weightlifting,Bantamweight-Overall
Silver,Satish Rai,Weightlifting,Lightweight-Clean and Jerk
Silver,Satish Rai,Weightlifting,Lightweight-Overall
Silver,Ashok Kumar,Wrestling,Bantamweight
Silver,Randhir Singh,Wrestling,Middleweight
