Name,Year,Invention,NJ affiliation
Seth Boyden,1989,malleable iron,"Newark , New Jersey worked"
John Stevens ( inventor ),1989,various innovations,"Hoboken , New Jersey lived"
Jan A. Rajchman,1989,read-only memory,Radio Corporation of America
Albert Einstein,1989,theoretical physics,Institute for Advanced Study
Alfred Vail,1989,telegraph,Speedwell Ironworks
Thomas A. Edison,1989,various innovations,Edison laboratory
Leo Sternbach,1989,benzodiazepines,Hoffman-La Roche
Selman Waksman,1989,streptomycin,Rutgers University
Vladimir Zworykin,1989,television,Radio Corporation of America
Jerome H. Lemelson,1990,,
Oberlin Smith,1990,magnetic recording,"Bridgeton , New Jersey lived"
Hannibal Goodwin,1990,,"Newark , New Jersey lived"
Edward Weston ( chemist ),1990,,New Jersey Institute of Technology
Karl G. Jansky,1992,radio telescope,Bell Labs
Albert Rose ( physicist ),1992,video camera tube,Radio Corporation of America
Paul K. Weimer,1992,thin-film transistor,Radio Corporation of America
John H. Sinfelt,1992,unleaded gasoline,ExxonMobil
James Hillier,1992,electron microscope,Radio Corporation of America
Solomon Andrews ( inventor ),1992,dirigible,"Perth Amboy , New Jersey lived"
Walter Lincoln Hawkins,1992,,Bell Labs
