Player,Position,Date of birth ( age ),National team,Club/province
Rory Best,Hooker,( 1982-08-15 ) 15 August 1982 ( aged 30 ),Ireland,Ulster
Dylan Hartley,Hooker,( 1986-03-24 ) 24 March 1986 ( aged 27 ),England,Northampton Saints
Richard Hibbard,Hooker,( 1983-12-13 ) 13 December 1983 ( aged 29 ),Wales,Ospreys
Tom Youngs,Hooker,( 1987-01-28 ) 28 January 1987 ( aged 26 ),England,Leicester Tigers
Dan Cole,Prop,( 1987-05-09 ) 9 May 1987 ( aged 26 ),England,Leicester Tigers
Alex Corbisiero,Prop,( 1988-08-30 ) 30 August 1988 ( aged 24 ),England,London Irish
Tom Court,Prop,( 1980-11-06 ) 6 November 1980 ( aged 32 ),Ireland,Ulster
Ryan Grant,Prop,( 1985-10-08 ) 8 October 1985 ( aged 27 ),Scotland,Glasgow Warriors
Cian Healy,Prop,( 1987-10-07 ) 7 October 1987 ( aged 25 ),Ireland,Leinster
Gethin Jenkins,Prop,( 1980-11-17 ) 17 November 1980 ( aged 32 ),Wales,Toulon
Adam Jones,Prop,( 1981-03-08 ) 8 March 1981 ( aged 32 ),Wales,Ospreys
Matt Stevens,Prop,( 1982-10-01 ) 1 October 1982 ( aged 30 ),England,Saracens
Mako Vunipola,Prop,( 1991-01-13 ) 13 January 1991 ( aged 22 ),England,Saracens
Ian Evans,Lock,( 1984-10-04 ) 4 October 1984 ( aged 28 ),Wales,Ospreys
Richie Gray,Lock,( 1989-08-24 ) 24 August 1989 ( aged 23 ),Scotland,Unattached
Alun Wyn Jones,Lock,( 1985-09-19 ) 19 September 1985 ( aged 27 ),Wales,Ospreys
Paul O'Connell,Lock,( 1979-10-20 ) 20 October 1979 ( aged 33 ),Ireland,Munster
Geoff Parling,Lock,( 1983-10-28 ) 28 October 1983 ( aged 29 ),England,Leicester Tigers
Tom Croft,Flanker,( 1985-11-07 ) 7 November 1985 ( aged 27 ),England,Leicester Tigers
Dan Lydiate,Flanker,( 1987-12-18 ) 18 December 1987 ( aged 25 ),Wales,Newport Gwent Dragons
