Ranking,Island,Population,Country
57,Oahu,"976,372 ( 2012 )",United States ( Hawaii )
58,Bangka,"960,692 ( 2010 )",Indonesia
59,Tenerife,"906,854 ( 2010 census )",Spain ( Canary Islands )
60,Unguja ( Zanzibar Island ),"896,721 ( 2012 Census )",Tanzania ( Zanzibar )
61,Palawan,"886,308 ( 2015 census )",Philippines
62,Majorca,"862,397 ( 2009 census )",Spain ( Balearic Islands )
63,Penang Island,"860,000 ( 2010 estimate )",Malaysia
64,Gran Canaria,"838,397 ( 2009 census )",Spain ( Canary Islands )
65,Réunion,"837,868 ( 2012 estimate )",France
66,Cangshan,"762,746 ( 2010 census )",China ( Fujian )
67,São Vicente,"760,000",Brazil ( São Paulo )
68,Nias,"756,338 ( 2010 Census )",Indonesia
69,Vancouver Island,"748,937 ( 2009 estimate )",Canada ( British Columbia )
70,Masbate,"706,897 ( 2015 census )",Philippines
71,Sumba,"686,113 ( 2010 Census )",Indonesia ( East Nusa Tenggara )
72,Viti Levu,"661,997 ( 2007 Census )",Fiji
73,Crete,"623,065 ( 2011 Census )",Greece
74,Jeju,"621,550 ( 2014 estimate )",South Korea
75,Chongming,"615,297 ( 2013 census )",China ( Shanghai )
76,Phuket,"525,018 ( 2010 )",Thailand
