Call letters,Channel,Network ( s ),City and state,Meaning or notes
KTAB-TV,24 PSIP 32,CBS,"Abilene , Texas",
KTAJ-TV,21 PSIP 16,TBN,"St. Joseph , Missouri",
KTAL-TV,26 PSIP/cable 6,NBC,"Texarkana , Texas","Texas , Arkansas Louisiana"
KTAS,34 PSIP 33,Telemundo,"San Luis Obispo , California",
KTAZ,29 PSIP 39,Telemundo,"Phoenix , Arizona",K T elemundo A ri Z ona
KTBC,7 PSIP 7,Fox,"Austin , Texas",
KTBN-TV,33 PSIP 40,TBN,"Santa Ana , California",K T rinity B roadcasting N etwork
KTBO-TV,15 PSIP 14,TBN,"Oklahoma City , Oklahoma",
KTBS-TV,28 PSIP 3,ABC,"Shreveport , Louisiana",
KTBU,33 PSIP 55,MegaTV,"Conroe , Texas",
KTBW-TV,14 PSIP 20,TBN,"Tacoma , Washington",
KTBY,20 PSIP 4,Fox,"Anchorage , Alaska",
KTCA-TV,34 PSIP/cable 2,PBS,"Minneapolis , Minnesota",Likely from T win C ities A rea
KTCI-TV,23 PSIP 17,PBS,"St. Paul , Minnesota",Affiliated with KTC A above
KTCW,45 PSIP 46,NBC,"Roseburg , Oregon","Satellite of KMTR Eugene , Oregon"
KTDO,26 PSIP 48,Telemundo,"Las Cruces , New Mexico",
KTEJ,20 PSIP 19,PBS,"Jonesboro , Arkansas",Member of AETN
KTEL-TV,25 PSIP 25,25.1 Telemundo 25.2 MeTV,"Carlsbad , New Mexico","Rebroadcasts KTEL-LP and KRTN-LP Albuquerque , New Mexico"
KTEN,26 PSIP 10,10.1 NBC 26.2 The CW 26.3 ABC,"Ada , Oklahoma",Ten is its channel number
KTFD-TV,28 PSIP 50,UniMas,"Denver , Colorado",T ele F utura D enver
