Rank,City,Region,Population
1,Mogadishu,Banaadir,"1,250,000"
2,Hargeisa,Woqooyi Galbeed,"900,000"
3,Bosaso,Bari,"550,000"
4,Burco,Togdheer,"350,222"
5,Kismayo,Lower Jubba,"340,000"
6,Borama,Awdal,"320,000"
7,Baydhabo,"Bay , Somalia","300,000"
8,Beledweyne,Hiiraan,"220,666"
9,Galkaio,Mudug,"200,000"
10,Garowe,Nugal,"200,000"
11,Laascaanood,Sool,"180,000"
12,Jawhar,Middle Shabelle,"150,000"
13,Buurhakaba,Bay,"130,000"
14,Marka,Lower Shabelle,"100,991"
15,Bardhere,Gedo,"100,800"
16,Afgooye,Lower Shebelle,"80,200"
17,Goryooley,Lower Shabelle,"70,033"
18,Dhuusamareeb,Galguduud,"60,997"
