Rival,Date,Venue,City,Country,Score
Olympic Club,4 October,St Ignatius Field,San Francisco,United States,19-0
University of California,8 October,California Field,Berkeley,United States,31-0
Barbarians Club,11 October,St Ignatius Field,San Francisco,United States,30-0
Stanford University,15 October,Stanford Park,Palo Alto,United States,54-0
Stanford University,18 October,Stanford Park,Palo Alto,United States,56-0
University of Santa Clara,22 October,Golden Gate,Santa Clara,United States,42-0
University of California,25 October,California Field,Berkeley,United States,38-3
"Univ . of Nevada , Reno",29 October,University Ground,Reno,United States,55-0
University of California,3 November,California Field,Berkeley,United States,33-0
St. Mary 's College,5 November,St Ignatius Field,San Francisco,United States,26-0
Univ . of Southern California,8 November,Boyard Field,Los Angeles,United States,40-0
University of Santa Clara,12 November,Golden Gate,Santa Clara,United States,33-0
United States,15 November,California Field,Berkeley,United States,51-3
Victoria ( B.C . ),19 November,Oak Bay Ground,Victoria,Canada,23-0
Victoria ( B.C . ),22 November,Oak Bay Ground,Victoria,Canada,35-0
Vancouver,24 November,Stanley Park,Victoria,Canada,44-0
