Year,Winner,Country,Time,Notes
1972,Nina Kuscsik,United States,3:08:41,Course record
1973,Nina Kuscsik,United States,2:57:07,"Course record , 2nd victory"
1974,Kathrine Switzer,United States,3:07:29,
1975,Kim Merritt,United States,2:46:14,Course record
1976,Miki Gorman,United States,2:39:11,Course record
1977,Miki Gorman,United States,2:43:10,2nd victory
1978,Grete Waitz,Norway,2:32:30,World record
1979,Grete Waitz,Norway,2:27:33,"World record , 2nd victory"
1980,Grete Waitz,Norway,2:25:42,"World record , 3rd victory"
1981,Allison Roe,New Zealand,2:25:29,World record
1982,Grete Waitz,Norway,2:27:14,4th victory
1983,Grete Waitz,Norway,2:27:00,5th victory
1984,Grete Waitz,Norway,2:29:30,6th victory
1985,Grete Waitz,Norway,2:28:34,7th victory
1986,Grete Waitz,Norway,2:28:06,8th victory
1987,Priscilla Welch,United Kingdom,2:30:17,
1988,Grete Waitz,Norway,2:28:07,9th victory
1989,Ingrid Kristiansen,Norway,2:25:30,
1990,Wanda Panfil,Poland,2:30:45,
1991,Liz McColgan,United Kingdom,2:27:32,
