Team,City,Stadium,Capacity,Manager
AB,Argir,Inni í Vika,"2,000",Samal Erik Hentze
B36,Tórshavn,Gundadalur,"5,000",Allan Mørkøre
B68,Toftir,Svangaskarð,"6,000",Bill McLeod Jacobsen
B71,Sandur,Inni í Dal,"2,000",Piotr Krakowski
EB/Streymur,Streymnes,Við Margáir,"1,000",Heðin Askham
FC Suðuroy,Vágur,á Eiðinum,"3,000",Jón Pauli Olsen
HB,Tórshavn,Gundadalur,"5,000",Julian Hansen ( int . )
ÍF,Fuglafjørður,í Fløtugerði,"3,000",Abraham Løkin
NSÍ,Runavík,Við Løkin,"2,000",Pauli Poulsen
Víkingur,Norðragøta,Sarpugerði,"2,000",Jógvan Martin Olsen
