Year,Top scorer,Club,Goals
2004,Kwame Ayew,Inter Shanghai,17
2005,Branko Jelić,Beijing Guoan,21
2006,Li Jinyu,Shandong Luneng Taishan,26
2007,Li Jinyu,Shandong Luneng Taishan,15
2008,Éber Luís,Tianjin Teda,14
2009,Hernán Barcos Luis Ramírez,Shenzhen Asia Travel / Shanghai Shenhua Guangzhou GPC,17
2010,Duvier Riascos,Shanghai Shenhua,20
2011,Muriqui,Guangzhou Evergrande,16
2012,Cristian Dănălache,Jiangsu Sainty,23
2013,Elkeson,Guangzhou Evergrande,24
2014,Elkeson,Guangzhou Evergrande,28
2015,Aloísio,Shandong Luneng Taishan,22
2016,Ricardo Goulart,Guangzhou Evergrande Taobao,19
2017,Eran Zahavi,Guangzhou R & F,27
2018,Wu Lei,Shanghai SIPG,27
