Name,Alternative name,Origin,Purpose
California Red,-- -,United States,"Meat , wool"
California Variegated Mutant,"CVM , Romeldale/CVM",United States,Wool
Cameroon sheep,-- -,West Africa,Meat
Campanian Barbary,-- -,Italy,"Meat , milk"
Canadian Arcott,-- -,Canada,Meat
Cărăbaşă,Black-headed Teleorman Tigaie,Romania,-- -
Castlemilk Moorit,"Castlemilk Shetland , Moorit Shetland",Scotland,Hobby
Charmoise,-- -,France,Meat
Charollais,-- -,France,Meat
Cheviot,-- -,Scotland,"Meat , wool"
Border Cheviot,South Country Cheviot,United Kingdom,Meat
Brecknock Hill Cheviot,"Brecon Cheviot , Sennybridge Cheviot",Wales,Meat
North Country Cheviot,-- -,Scotland,Meat
Chios,-- -,Island of Chios,Milk
Cholistani,-- -,Pakistan,Meat
Churra,Spanish Churro,Spain,"Meat , milk"
Cigaja,-- -,Croatia,"Wool , milk"
Cikta,-- -,Hungary,Meat
Cine Capari,-- -,Turkey,-- -
Clun Forest,-- -,England,"Meat , milk , wool"
