Season,Player,School,Position,Class
1979-80,Rufus Harris,Maine,SF,Senior
1979-80,Ron Perry,Holy Cross,SG,Senior
1980-81,Mike Ferrara,Colgate,SG,Senior
1981-82,Perry Moss,Northeastern,PG / SG,Junior
1982-83,Jeff Cross,Maine,C,Junior
1983-84,Mark Halsel,Northeastern,F,Senior
1984-85,Reggie Lewis,Northeastern,SF,Sophomore
1985-86,Reggie Lewis ( 2 ),Northeastern,SF,Junior
1986-87,Reggie Lewis ( 3 ),Northeastern,SF,Senior
1987-88,Larry Jones,Boston University,PF,Senior
1988-89,Jeff Robinson,Siena,SF / SG,Junior
1989-90,Steven Key,Boston University,PG,Senior
1990-91,Matt Johnson,Vermont,SF,Senior
1991-92,Kevin Roberson,Vermont,C,Senior
1992-93,Vin Baker,Hartford,C,Senior
1993-94,Scott Drapeau,New Hampshire,PF,Junior
1994-95,Malik Rose,Drexel,PF,Junior
1995-96,Malik Rose ( 2 ),Drexel,PF,Senior
1996-97,Tunji Awojobi,Boston University,PF,Senior
1997-98,Craig Speedy Claxton,Hofstra,PG,Sophomore
