Callsign,Freq,City,Market,Transferred,From
WRWN,107.9 MHz,"Port Royal , SC","Savannah , GA","June 26 , 2013",Triad
WGCO,98.3 MHz,"Midway , GA","Savannah , GA","June 26 , 2013",Triad
WFXH-FM,106.1 MHz,"Hilton Head I. , SC","Savannah , GA","June 26 , 2013",Triad
WUBB,106.9 MHz,"Bluffton , SC","Savannah , GA","June 26 , 2013",Triad
WHHW,1130 kHz,"Hilton Head I. , SC","Savannah , GA","June 26 , 2013",Triad
W241CV,93.5 MHz,"Hilton Head I. , SC","Savannah , GA","June 26 , 2013",Triad
WXYY,100.1 MHz,"Rincon , GA","Savannah , GA","March 3 , 2014",Tama Broadcasting
WWDM-FM,101.3 MHz,"Sumter , SC","Columbia , SC","November 27 , 2013",YMF
WHXT-FM,103.9 MHz,"Orangeburg , SC","Columbia , SC","November 27 , 2013",YMF
WMFX-FM,102.3 MHz,"Saint Andrews , SC","Columbia , SC","November 27 , 2013",YMF
WARQ,93.5 MHz,"Columbia , SC","Columbia , SC","November 27 , 2013",YMF
WPCO,1230 kHz,"Columbia , SC","Columbia , SC","November 27 , 2013",YMF
WJNT,1180 kHz,"Pearl , MS","Jackson , MS","September 24 , 2013",YMF
WOAD,1300 kHz,"Jackson , MS","Jackson , MS","September 24 , 2013",YMF
WJQS,1400 kHz,"Jackson , MS","Jackson , MS","September 24 , 2013",YMF
WJMI,99.7 MHz,"Jackson , MS","Jackson , MS","September 24 , 2013",YMF
WRKS,105.9 MHz,"Pickens , MS","Jackson , MS","September 24 , 2013",YMF
WKXI-FM,107.5 MHz,"Magee , MS","Jackson , MS","September 24 , 2013",YMF
KJXK,102.7 MHz,"San Antonio , TX","San Antonio , TX",January 2014,BMP Radio
KTSA,550 kHz,"San Antonio , TX","San Antonio , TX",January 2014,BMP Radio
