Date,City,County,Prize purse ( US $ )
Mar 30,Mooloolaba,Australia,"$ 100,000"
Apr 6,New Plymouth,New Zealand,"$ 100,000"
Apr 13,Ishigaki,Japan,"$ 100,000"
Apr 26,Tongyeong,South Korea,"$ 100,000"
May 4,Richards Bay,South Africa,"$ 100,000"
May 25,Madrid,Spain,"$ 100,000"
Jun 22,Des Moines,United States,"$ 700,000"
Jul 5 -6,Hamburg,Germany,"$ 100,000"
Jul 13,Tiszaújváros,Hungary,"$ 100,000"
Jul 20,Kitzbühel,Austria,"$ 100,000"
Sep 27 -28,Lorient,France,"$ 100,000"
Oct 26,Huatulco,Mexico,"$ 100,000"
