Year,Score,Athlete,Location
1980,6049,Zoya Spasovkhodskaya ( URS ),Pyatigorsk
1981,6788,Ramona Neubert ( GDR ),Kiev
1982,6845,Ramona Neubert ( GDR ),Halle
1983,6935,Ramona Neubert ( GDR ),Moscow
1984,6946,Sabine Paetz ( GDR ),Potsdam
1985,6718,Jackie Joyner ( USA ),Baton Rouge
1986,7158,Jackie Joyner-Kersee ( USA ),Houston
1987,7128,Jackie Joyner-Kersee ( USA ),Rome
1988,7291,Jackie Joyner-Kersee ( USA ),Seoul
1989,7007,Larisa Nikitina ( URS ),Bryansk
1990,6783,Jackie Joyner-Kersee ( USA ),Seattle
1991,6878,Jackie Joyner-Kersee ( USA ),New York City
1992,7044,Jackie Joyner-Kersee ( USA ),Barcelona
1993,6837,Jackie Joyner-Kersee ( USA ),Stuttgart
1994,6741,Heike Drechsler ( GER ),Talence
1995,6715,Ghada Shouaa ( SYR ),Götzis
1996,6942,Ghada Shouaa ( SYR ),Götzis
1997,6787,Sabine Braun ( GER ),Ratingen
1998,6559,Denise Lewis ( GBR ),Budapest
1999,6861,Eunice Barber ( FRA ),Seville
