Name,Association with RMIT,Notability
"Tate Adams , AM",former faculty,printmaker
Peter Bennetts,BA ( Photo ),photographer
Murray Griffin,former faculty,printmaker
"Grahame King , AM",art classes,printmaker
Charles Page,"Dip Photo , BA ( Photo )",photographer
"Graham Pizzey , AM","DAppSci ( honoris causa ) , faculty",photographer and writer
Udo Sellbach,former faculty,printmaker ; co-founder of the Print Council of Australia
Heather Shimmen,BA,printmaker
Nicholas Purcell,BA ( Photo ),photographer
Christopher Stewart,former faculty,"photographer ; current Professor of Photography at the University of Technology , Sydney"
Harrison Tsui,attended,fashion photographer
