Rank,Name,Nation,Score,Event
1,Ekaterina Borisova / Dmitry Sopot,Russia,171.86,2015-16 Junior Grand Prix Final
2,Amina Atakhanova / Ilia Spiridonov,Russia,162.50,2015 JGP Austria
3,Anna Dušková / Martin Bidař,Czech Republic,162.33,2015-16 Junior Grand Prix Final
4,Anastasia Gubanova / Alexei Sintsov,Russia,157.09,2015-16 Junior Grand Prix Final
5,Renata Ohanesian / Mark Bardei,Ukraine,152.92,2015 JGP Austria
6,Anastasia Poluianova / Stepan Korotkov,Russia,145.27,2015-16 Junior Grand Prix Final
7,Bryn Hoffman / Bryce Chudak,Canada,142.33,2015 JGP Poland
8,Joy Weinberg / Maximiliano Fernandez,United States,136.62,2015 JGP USA
9,Chelsea Liu / Brian Johnson,United States,135.25,2015 JGP Poland
10,Justine Brasseur / Mathieu Ostiguy,Canada,135.11,2015 JGP Austria
