Pick,Player,Recruited from,Club
1,Jamie Shanahan,St Kilda,Melbourne
2,Joel Smith,St Kilda,Hawthorn
3,Matthew Bode,Glenelg Football Club,Port Adelaide
4,Adam Coughlan,Sandringham Zebras,Sydney Swans
5,Damian Houlihan,Tatura Football Club,North Melbourne
6,Scott Taylor,Western Bulldogs,Western Bulldogs
7,Matthew Carr,East Fremantle Football Club,St Kilda
8,Pass,,Adelaide Crows
9,Jason Daniltchenko,North Melbourne,Hawthorn
10,Brady Anderson,East Perth Football Club,North Melbourne
11,Jamie Elliott,St Kilda,St Kilda
12,Haydon Kilmartin,East Fremantle Football Club,Hawthorn
13,Pass,,St Kilda
14,Pass,,Hawthorn
